Company_Brand,Sector,Stage,BIO,Year,HeadQuarter,Amount($)
TheCollegeFever,Marketing Services,Seed,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,Bangalore,250000.0
Happy Cow Dairy,Agriculture,Seed,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,Mumbai,40000000.0
MyLoanCare,Financial Services,Series,Leading Online Loans Marketplace in India,2018,Gurgaon,65000000.0
PayMe India,Financial Services,Angel,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,Noida,2000000.0
Eunimart,E-Commerce,Seed,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,Hyderabad,
Hasura,Internet Services,Seed,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,Bengaluru,1600000.0
Tripshelf,Internet Services,Seed,Tripshelf is an online market place for holiday packages.,2018,Kalkaji,16000000.0
Hyperdata.IO,Market Research,Angel,Hyperdata combines advanced machine learning with human intelligence.,2018,Hyderabad,50000000.0
Freightwalla,Technology,Seed,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,Mumbai,
Microchip Payments,Mobile Payments,Seed,Microchip payments is a mobile-based payment application and point-of-sale device,2018,Bangalore,
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Seed,Building Transactionary B2B Marketplaces,2018,Delhi,
Emojifi,Internet Services,Seed,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,Bengaluru,
Flock,Technology,Seed,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018,Trivandrum,
Freshboxx,Food Delivery,Seed,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,Hubli,
Wide Mobility Mechatronics,Industrial Automation,Seed,Wide Mobility Mechatronics is a Private Company limited by Shares,2018,Bangalore,
Pitstop,"Automotive, Search Engine, Service Industry",Seed,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,Bengaluru,100000000.0
Mihuru,Financial Services,Seed,Mihuru is an online platform which gives micro loans for air travel .,2018,Mumbai,150000.0
Fyle,Financial Services,Seed,Fyle is an intelligent expense management platform for enterprises.,2018,Bengaluru,1100000.0
AppWharf,Artificial intelligence,Seed,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,Delhi,
Antariksh Waste Ventures Pvt ltd,Internet Services,Seed,Waste Management for Smart Cities,2018,Chennai,500000.0
Cogoport,Transport Services,Series,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,Mumbai,6000000.0
PaisaDukan,Financial Services,Seed,A P2P lending marketplace platform,2018,Mumbai,650000.0
Sleepy Owl Coffee,Food and Beverage,Seed,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,Delhi,35000000.0
BlueJack,Autonomous Vehicles,Seed,Delhi-based online used vehicles marketplace.,2018,Delhi,64000000.0
PregBuddy,Health Care,Seed,PregBuddy is a smart connected care platform for expecting mothers.,2018,Bengaluru,
AgNext Technologies,Agriculture,Series,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,Mohali,
Pando,"Logistics, Supply Chain Management",Seed,A startup which digitizes logistics operations for Fortune 500 companies.,2018,Chennai,2000000.0
Mintifi,Financial Services,Seed,Online lending startup based in Mumbai.,2018,Mumbai,2000000.0
Carcrew,"Automotive, Marketplace, Online Portals",Seed,India's Online Auto Repair Marketplace,2018,Mumbai,2000000.0
NicheAI,Artificial intelligence,Angel,Early stage Artificial Intelligence (AI) start up.,2018,Hyderabad,
Chariot Tech,Internet Services,Seed,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,Delhi,20000000.0
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,Kolkata,1000000.0
Loanzen,Financial Services,Seed,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018,Bangalore,
Mojro Technologies,Technology,Seed,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,Bengaluru,650000.0
Elemential,Technology,Seed,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,Mumbai,1000000.0
Loadshare,"Industrial Automation, Logistics, Supply Chain Management",Series,LoadShare is India’s fastest growing logistics company,2018,Bengaluru,5000000.0
Yumlane,"Food and Beverage, Food Delivery, Snack Food",Series,Food startup Yumlane operated by QwikPik Technology,2018,Mumbai,4000000.0
Kriger Campus,Education,Seed,A Education Start Up.,2018,Delhi,30000000.0
Pipa+Bella,E-Commerce,Series,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,Mumbai,1000000.0
Kaleidofin,Financial Services,Seed,A fintech platform.,2018,Chennai,2800000.0
Chakr Innovation,Renewable Energy,Seed,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018,Delhi,
IndigoLearn,Education,Seed,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,Hyderabad,150000.0
UClean,Technology,Seed,UClean is a tech enabled laundry service provider.,2018,Trivandrum,40000000.0
Coutloot,E-Commerce,Seed,The Fashion Re-commerce platform.,2018,Mumbai,1000000.0
Letstrack,"Apps, Messaging, Navigation, Public Safety",Seed,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,Delhi,1700000.0
Pooltoo,Transport Services,Seed,Pooltoo offers a premium ride sharing platform.,2018,Delhi,
Finzy,Financial Services,Seed,finzy is the premier peer to peer lending solution in India.,2018,Bangalore,1300000.0
Fitternity,Health Care,Seed,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,Mumbai,2000000.0
Keito,Artificial intelligence,Seed,Building an Intelligent Digital Assistant.,2018,Pune,
Tolet for Students,Hospitality,Seed,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,Jodhpur,5000000.0
Chai Kings,"Food and Beverage, Tea",Seed,Chai Kings is a tea retail chain,2018,Chennai,20000000.0
Dainik Jagran,"Media and Entertainment, News, Outdoors",Seed,Dainik Jagran is a media and communications group.,2018,Kanpur,40000000.0
Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed,Playtoome is a live entertainment destination,2018,Bengaluru,20000000.0
ONGO Framework,Technology,Angel,ONGO Framework is a B2B IT and digital solution provider.,2018,Hyderabad,1000000.0
Notesgen,Education,Seed,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,Delhi,12500000.0
Arogya MedTech,Health Care,Seed,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,Kolkata,15000000.0
Propshop24,E-Commerce,Seed,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,Mumbai,500000.0
myUpchar,Health Care,Series,To bring health issues to people in their language.,2018,Delhi,5000000.0
MissMalini Entertainment,—,Seed,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,Mumbai,104000000.0
Rooter,Sports,Seed,Rooter is a mobile-based platform,2018,Trivandrum,45000000.0
ZestMoney,Technology,Series,Zest is India's first completely automated consumer digital lending platform.,2018,Bangalore,13400000.0
alphaics Corporation,Technology,Seed,Advancing AI compute,2018,Bengaluru,
MyDentistChoice,Health Care,Seed,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,Hyderabad,500000.0
Sattviko,"Food Processing, Retail",Angel,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,Delhi,
Sensibull,Trading Platform,Seed,Investment Management Platform,2018,Bangalore,25000000.0
Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",Series,Bombay Shaving Company is a Men's grooming startup,2018,Delhi,
MedCords,Wellness,Seed,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,Pune,26400000.0
University Living,Education,Seed,University Living is an online global student housing marketplace.,2018,Delhi,
&ME,"Food and Beverage, Food Processing, Nutrition",Seed,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,Bangalore,
Enakshi,Fashion,Seed,Enakshi is an online apparel brand for women.,2018,Ahmedabad,8000000.0
Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",Series,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,Bangalore,60000.0
Inthree Access,"Consulting, Retail, Social",Series,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,Chennai,4000000.0
BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series,BUGWORKS is a drug discovery company.,2018,Bangalore,9000000.0
Guardian.in,Health Care,Seed,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,Mumbai,
PrestLoans,Financial Services,Seed,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,Delhi,100000.0
Wimoxez,Internet Services,Seed,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,Hyderabad,20000.0
India Accelerator,"Communities, Coworking, Incubators",Angel,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,Gurgaon,
HappyEMI,Financial Services,Seed,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,Bangalore,1000000.0
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,Premium Personal Assistance service,2018,Azadpur,
Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,Bangalore,4000000.0
Propelld,Education,Seed,Propelld is a student education financing platform.,2018,Bengaluru,250000.0
PivotRoots,Marketing Services,Series,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,Mumbai,
ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,Delhi,120000.0
Carmesi,Health Care,Seed,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,Gurgaon,34000000.0
OckyPocky,Internet Services,Angel,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018,Haryana,
Racetrack,Artificial intelligence,Seed,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,Bangalore,342000000.0
WHR,Health Care,Seed,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,Pune,143145.0
Asteria Aerospace,Aerospace,Seed,Asteria Aerospace is a robotics and artificial intelligence company.,2018,Bangalore,
FabAlley,E-Commerce,Series,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,Noida,600000000.0
Tranzmeo,Artificial intelligence,Seed,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,Kochi,
SBI Life,Insurance,Equity,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,Mumbai,742000000.0
Studds Accessories,E-Commerce,Equity,Studds Accessories is a scooter accessories service provider in India,2018,Faridabad,1000000000.0
Design Cafe,Home,Series,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,Bengaluru,2000000000.0
NoPaperForms Solutions Pvt. Ltd.,Education,Series,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,Delhi,3980000.0
Rays Power Infra,"Energy, Solar",Series,Rays Power Infra is a leading integrated Solar Power Company.,2018,Jaipur,2000000000.0
AuthMetrik,Internet Services,Dept,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,Gurgaon,10000.0
Khidki,Artificial intelligence,Seed,Vernacular Social Network Focused on Town Level Content and Interactions,2018,Bangalore,
LetsTransport,Transport Services,Series,Lets transport is a logistics solution provider.,2018,Bangalore,1000000000.0
Next Digital Solutions,Marketing Services,Angel,Next Digital Solutions is website design & Digital Marketing development company.,2018,Kota,100000.0
Portea Medical,Health Care,Dept,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,Bangalore,250000000.0
Aavas Financiers,Financial Services,Dept,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,Jaipur,2000000000.0
Swiggy,Internet Services,Series,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,Bangalore,1000000000.0
Milkbasket,E-Commerce,Series,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018,Haryana,7000000.0
Nutrisattva (Proliva),Health Care,Angel,Nutrisattva is a protein innovation compan,2018,Anand,
Toppr,Education,Series,Toppr.com is an online preparation platform for entrance exams in India.,2018,Mumbai,35000000.0
Jagaran Microfin,—,Dept,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,Kolkata,550000000.0
Vivriti Capital,Financial Services,Series,Vivriti Capital is an online platform for institutional debt in India.,2018,Chennai,28500000.0
Be U Salons,"Apps, Beauty, Consumer, Retail",Seed,Be U is India's first subscription based Salon Chain.,2018,Delhi,30000000.0
Impact Guru,Health Care,Series,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,Mumbai,2000000.0
MobiKwik,Financial Services,Series,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,Gurgaon,240000000.0
Stones2Milestones,Education,Seed,Stones2milestones is a Gurgaon Based Learning Company.,2018,Gurgaon,
Generico,Health Care,Series,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,Mumbai,
Adiuvo Diagnostics,Health Care,Seed,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,Chennai,
DataTrained,Education,Seed,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,Bangalore,120000000.0
OneAssist,Financial Services,Dept,OneAssist is a protection & assistance services platform.,2018,Mumbai,2400000.0
Satin Creditcare Network Limited (SCNL),Financial Services,Dept,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,Delhi,30000000.0
APAC Financial Services,Financial Services,Equity,APAC Financial Services is a financial services platform.,2018,Mumbai,2500000000.0
Moglix,E-Commerce,Series,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,Noida,23000000.0
SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",Series,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,Mumbai,
MadGuy Labs,E-Learning,Series,MadGuy Labs is a Online Test-prep Platform.,2018,Hyderabad,150000.0
Dee Dee Labs,Health Care,Seed,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,Pune,
FLEECA,—,Seed,FLEECA is a Tyre Care Provider company.,2018,Jaipur,
Shop101,E-Commerce,Series,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,Mumbai,11000000.0
FeedMyPockets,Marketing Services,Seed,On Demand Staffing Platform,2018,Bangalore,44000000.0
Housejoy,Internet Services,Series,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018,Bengaluru,3240000.0
Ambee,Health Care,Angel,Ambee is an Environment analytics startup.,2018,Bangalore,
FoodBuddy,"Food Delivery, Online Portals, Restaurants",Seed,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,Belgaum,60000000.0
Ninjacart,Technology,Series,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,Bengaluru,2500000000.0
Olly Smart Credit Card,Financial Services,Seed,Olly is a digital credit card for India's working masses and young people.,2018,Delhi,
Zestl,Technology,Seed,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018,Pune,
BYJU’S,Education,Equity,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018,Bangalore,540000000.0
Wakefit,"Manufacturing, Retail",Series,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,Bangalore,650000000.0
Hero Electric,Manufacturing,Series,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,Delhi,1600000000.0
Pentation Analytics,Technology,Seed,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018,Mumbai,
PerkFinance,Technology,Seed,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018,Bangalore,900000.0
Roposo,Internet Services,Series,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018,Gurgaon,10000000.0
Plum Goodness,Health Care,Series,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018,Thane,
Drstore,Hospital,Seed,Drstore is a exclusive e- commerce platform.,2018,Mumbai,
Wow Venue,Events,Series,Wow Venue is an online platform.,2018,Mumbai,1500000.0
Chizel,"3D Printing, Manufacturing, Product Design",Seed,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018,Pune,
OTO Capital,Automotive,Seed,OTO Capital is a platform that allows you to own a car faster than ever.,2018,Mumbai,50000000.0
Boodmo,"Automotive, Retail",Seed,boodmo.com - large online marketplace for auto parts in India.,2018,Gurgaon,70000000.0
Khabri,"Apps, Audio",Seed,Khabri is a digital audio platform for content in vernacular.,2018,Haryana,
MyNewCar.in,E-Commerce,Series,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,Gurgaon,1000000.0
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",Series,A daily fantasy sports platform.,2018,Bangalore,5000000.0
PlanetSpark,Education,Seed,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,Gurgaon,16000000.0
WheelsEMI,—,Series,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018,Pune,14000000.0
Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit",Dept,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,Margão,102500000.0
OYO,"Hospitality, Hotel, Leisure, Travel",Series,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018,Gurgaon,100000000.0
Quikr,Internet Services,Dept,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,Bangalore,550000000.0
Tabono,Sports,Seed,Tabono is a one stop environment for all your fitness solution.,2018,Gurgaon,
LearnApp,"Banking, E-Learning, Trading Platform",Seed,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,Noida,20000000.0
Shopkirana,E-Commerce,Series,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018,Indore,2000000.0
Fric Bergen,—,Series,Fric Bergen is a leader in the specialty food industry.,2018,Alwar,
Articbot,Artificial intelligence,Dept,Articbot is a conversational AI platform for automated customer support and lead generation,2018,Kannur,1200000.0
BuildSupply,Technology,Series,India’s most advanced ERP system for the real estate,2018,Gurgaon,250000000.0
Fusion Microfinance,Financial Services,Series,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018,Delhi,5200000000.0
Any time Doctor,Technology,Angel,Anytime Doctor is a Software company.,2018,Chennai,
Go Payments,Technology,Corporate Round,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018,Mumbai,
Guiddoo World,"Audio, Mobile, Tourism, Travel",Seed,We build In-Destination Experiences!,2018,Mumbai,800000.0
ION Energy,"Energy, Energy Storage, Infrastructure",Series,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018,Mumbai,1041000.0
UnoTag,Artificial intelligence,Seed,SaaS to verify counterfeit,2018,Bangalore,100000.0
CivilCops,Technology,Seed,Gov-Tech,2018,Gurgaon,100000.0
Rockmetric,Technology,Dept,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018,Mumbai,
Classworks India,Education,Undisclosed,"Saas, Web App, Mobile App, School Education",2018,Chennai,100000.0
Snapmint,Financial Services,Seed,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018,Mumbai,
artbandhu,Internet Services,Seed,Ai platform for Art and Creative Community,2018,Bangalore,15000.0
Survaider,Internet Services,Seed,Stethoscope for customer feedback !,2018,Bengaluru,500000.0
Credy,Financial Services,Seed,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018,Bengaluru,1400000.0
iChamp,E-Learning,Seed,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018,Gurgaon,5000000.0
Qandle,Technology,Seed,A cloud-based HR management and employee engagement platform.,2018,Gurgaon,1200000.0
Avishkaar Box,Education,Seed,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018,Delhi,50000000.0
Gegadyne Energy,"Automotive, Battery, Energy, Energy Storage",Angel,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018,Mumbai,
HyperXchange,E-Commerce,Series,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018,Pune,1000000.0
Deftouch,—,Seed,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018,Bangalore,
Doodhwala,"Food Delivery, Organic, Organic Food",Seed,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018,Bengaluru,2200000.0
DronaHQ,Mobile,Angel,DronaHQ is an enterprise mobile engagement platform.,2018,Mumbai,500000.0
FastFox,Rental,Series,FastFox: Market Network for Home Rentals (India),2018,Gurgaon,100000000.0
BuyForexOnline,Travel,Angel,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018,Bangalore,2000000.0
Colive.in,Consumer,Seed,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018,Bangalore,1800000.0
Agricxlab Private Limited,Agriculture,Seed,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018,Thane,500000.0
Corefactors,—,Seed,"Corefactors is a leading campaign management, business communication and analytics company.",2018,Bangalore,
Fincash.com,Wealth Management,Seed,A startup in the personal finance space in India .,2018,Mumbai,150000.0
Pandorum Technologies,Biotechnology,Series,Bengaluru based biotech startup.,2018,Bengaluru,3600000.0
Shirsa Labs,Education,Seed,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018,Mumbai,500000.0
PetSutra,Veterinary,Seed,Gurugram-based Online petcare platform.,2018,Gurgaon,9500000.0
Awaaz De,Internet Services,Angel,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018,Ahmedabad,
PinkBlue,Health Care,Seed,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018,Bangalore,300000.0
Eduvanz,Financial Services,Angel,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018,Mumbai,500000.0
Rupeek,Financial Services,Series,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018,Bangalore,6830000.0
Backpacker Panda Holidays Private Limited,"Tourism, Travel",Series,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018,Pune,1400000.0
Shape (School Health and Physical Education),Education,Seed,Physical education start up,2018,Pune,200000.0
Placio,"Hospitality, Real Estate",Seed,Placio is a student housing and a complete broker-free platform.,2018,Noida,2000000.0
Aviom India Housing Finance,Financial Services,Series,Delhi based housing finance company.,2018,Delhi,150000000.0
GenRobotic,Market Research,Seed,A Robotic Company.,2018,Trivandrum,
HeyHolidays,"Tourism, Travel",Seed,"HeyHolidays, a global player in online vacation rentals.",2018,Bangalore,1000000.0
Pratilipi,"Digital Media, EBooks, Publishing, Reading Apps",Series,Amazon's Kindle Direct Publishing for Indian Languages,2018,Bengaluru,4300000.0
SectorQube,Technology,Seed,SectorQube develops smart kitchen devices that make food automatically.,2018,Ernakulam,
Food Memories,"Food and Beverage, Food Processing",Seed,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,2018,Ahmedabad,
ZAMROO,Internet Services,Seed,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,2018,Trivandrum,
Silversparro Technologies Pvt. Ltd,Technology,Seed,Silversparro is a deep learning technology solution provider.,2018,Gurgaon,300000.0
Creator’s Gurukul,Facilities Support Services,Angel,A coworking space provider.,2018,Gurgaon,
Emflux Motors,"Automotive, Electric Vehicle, Energy",Seed,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018,Bengaluru,364846.0
Tricog Health Services Pvt Ltd,Health Care,Series,Predictive Healthcare Analytics Company,2018,Bangalore,4000000.0
Scapic,Technology,Seed,Virtual/Augmented Reality Start Up .,2018,Bangalore,500000.0
6Degree,"Fashion, Lifestyle, Retail",Seed,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018,Mumbai,400000.0
Chrysalis (EZ Vidya),Education,Seed,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,2018,Chennai,
Ekincare,Medical,Series,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018,Hyderabad,1500000.0
Streo,Music Streaming,Seed,"Live stream music from nightclubs, bars & festivals!",2018,Gurgaon,
Groww,Financial Services,Seed,Groww offers a new way of investing money.,2018,Koramangala,120000.0
Cell Propulsion,—,Seed,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018,Bangalore,7000000.0
Chezuba,Internet Services,Angel,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,2018,Hyderabad,1400000.0
Ontrack Technologies Pvt. Ltd,Retail,Seed,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2018,Bangalore,
Wealthtrust,Financial Services,Seed,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018,Mumbai,500000.0
Faclon Labs,Technology,Seed,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,2018,Mumbai,
Awign Enterprises,"Business Development, Market Research, Outsourcing",Seed,Operations and manpower outsourcing startup,2018,Bangalore,50000000.0
CollPoll,Education,Seed,World-class Enterprise System for Education.,2018,Bangalore,
Zyla Health,Health Care,Seed,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,2018,Delhi,
Hubhopper,Internet Services,Series,Get your daily dose of interest as summaries from news and magazine stories .,2018,Delhi,500000.0
Rubix108 Technologies,Technology,Seed,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,2018,Pune,1000000.0
Workflexi,Human Resources,Seed,"Be Smart, Work on Contract,Be Smart, Hire on Contract",2018,Bangalore,10000000.0
Streak,Financial Services,Seed,Algorithmic trading platform.,2018,Bangalore,22500000.0
Kuants,Financial Services,Seed,Algorithmic trading platform.,2018,Gurgaon,5000000.0
NiYO Solutions,Financial Services,Series,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,2018,Bangalore,13200000.0
Hippo Video,Technology,Seed,A video recording and sharing software.,2018,Chennai,
Satvacart,E-Commerce,Seed,Satvacart is a Gurgaon’s largest online supermarket,2018,Gurgaon,
Daaki,Health Care,Angel,Sports Nutrition startup,2018,Bangalore,
Simulanis,Training,Seed,A Delhi-based Augmented Reality and Virtual Reality technology development company.,2018,Delhi,500000.0
MY CHIRAAG CAB,Travel,Seed,MY CHIRAAG CAB SERVICES PVT LTD,2018,Jaipur,1000000.0
WOTU,Food and Beverage,Seed,It operates a business-to-business e-commerce portal for food and beverages.,2018,Bangalore,
Flathalt,—,Angel,FInd your Customized Home here.,2018,Gurgaon,50000.0
